#,id,address,microdistrict_id,house,building_body,phone,email,photo,photo_url,linestring,marker,multipolygon,description,created_at,updated_at,is_deleted,is_disabled,category_id,district_id,street_id,sub_category_id,work_hours,name_kz,name_ru,form_of_ownership_category_id,form_of_ownership_sub_category_id,latitude,longitude
2389,651840,"пр.Достык, 294/2",,,,,,,,,0101000020E6100000B40584D6C33D53408D429259BD9B4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,6,,32,,Площадка для воркаута,Площадка для воркаута,,,43.216716,76.965078
2390,649841,"ул.Тургут Озала, 24/13",,,,,,,,,0101000020E6100000E77118CC5F38534095D233BDC4A04540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Футбольное поле,Футбольное поле,,,43.256004,76.880847
2391,650761,"ул.Барибаева, 43/6",,,,,,,,,0101000020E6100000AA9CF6949C3D5340D388997D1EA14540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,6,,32,,Спортивная площадка,Спортивная площадка,,,43.258743,76.962682
2392,649626,"ул.Сатпаева, 91",,,,,,,,,0101000020E61000009A5E622CD3385340D55B035B259E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,4,,32,,Баскетбольная площадка,Баскетбольная площадка,,,43.235515,76.887889
2393,649639,"бульв.Бухар Жирау, 27/5",,,,,,,,,0101000020E6100000693A3B191C3B53409D103AE8129E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,4,,32,,Баскетбольная площадка,Баскетбольная площадка,,,43.234952,76.92359
2394,650646,"ул.Клочкова, 92",,,,,,,,,0101000020E610000030BC92E4B9395340A88E554ACF9E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Спортивная площадка,Спортивная площадка,,,43.240701,76.901971
2395,650648,"ул.Жарокова, 95",,,,,,,,,0101000020E6100000B72A89EC83395340FF092E56D49E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Спортивная площадка,Спортивная площадка,,,43.240855,76.898677
2396,650675,"ул.Прокофьева, 35",,,,,,,,,0101000020E610000000750305DE3753407C26FBE769A04540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Спортивная площадка,Спортивная площадка,,,43.253232,76.872926
2397,651801,"ул.Курмангазы, 20",,,,,,,,,0101000020E6100000A435069D103D5340AB22DC64549F4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,6,,32,,Площадка для воркаута,Площадка для воркаута,,,43.244763,76.954139
2398,649427,"ул.Брусиловского, 13 А",,,,,,,,,0101000020E6100000CF2D74250238534074F04C6892A04540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,5,2,,32,,Баскетбольная площадка,Баскетбольная площадка,,,43.254468,76.875131
